Term,Definition
"Solids, volatile dissolved",Volatile Dissolved Solids
"Solids, volatile suspended",Volatile Suspended Solids
Spartina alterniflora coverage,Areal coverage of the plant Spartina alterniflora
Spartina spartinea coverage,Areal coverage of the plant Spartina spartinea
Specific conductance,Specific conductance
Speed of sound,Speed of sound in the medium sampled
Squalene,Squalene (C30H50)
Streamflow,The volume of water flowing past a fixed point.  Equivalent to discharge
"Streptococci, fecal",Fecal Streptococci
"Strontium, dissolved",Dissolved Strontium (Sr)
"Strontium, stable isotope ratio",Ratio of radiogenic Strontium to naturally occurring Strontium (Sr87:Sr86)
"Strontium, total",Total Strontium (Sr)
Styrene,Styrene (C8H8)
Suaeda linearis coverage,Areal coverage of the plant Suaeda linearis
Suaeda maritima coverage,Areal coverage of the plant Suaeda maritima
"Sulfate, dissolved",Dissolved Sulfate (SO4)
"Sulfate, total",Total Sulfate (SO4)
"Sulfide, dissolved",Dissolved Sulfide
"Sulfide, total",Total sulfide
Sulfur,Sulfur (S)
Sulfur dioxide,Sulfur dioxide (SO2)
"Sulfur, dissolved",Dissolved Sulfur (S)
"Sulfur, organic",Organic Sulfur
"Sulfur, pyritic",Pyritic Sulfur
Sunshine duration,Sunshine duration
"Superoxide dismutase, activity",Superoxide dismutase (SOD) activity
"Superoxide dismutase, delta cycle threshold","Delta cycle threshold for superoxide dismutase (sod). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for sod is the difference between the cycle threshold (Ct) of sod gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
SUVA254,Specific ultraviolet absorbance at 254 nm. Determined by absorbance normalized to DOC concentration.
Table overrun error count,A counter which counts the number of datalogger table overrun errors
Tactile Water Presence,"A Boolean indicator for the tactile presence of water on the landscape or on the soil surface, as it feels to a human observer's touch. Typically this variable is employed for wet/dry mapping or citizen science efforts."
Taxa count,"Count of unique taxa. A taxon (plural: taxa) is a group of one (or more) populations of organism(s), which is judged to be a unit."
TDR waveform relative length,"Time domain reflextometry, apparent length divided by probe length. Square root of dielectric"
Temperature,Temperature
Temperature change,temperature change
"Temperature, datalogger","Temperature, raw data from datalogger"
"Temperature, dew point",Dew point temperature
"Temperature, initial",initial temperature before heating
"Temperature, sensor","Temperature, raw data from sensor"
"Temperature, transducer signal","Temperature, raw data from sensor"
"Temperature, wet-bulb",Temperature of air when cooled to saturation by evaporation of water
Terbufos,Terbufos (C9H21O2PS3)
Terpineol,Terpineol (C10H18O)
Tert-Amyl Methyl Ether,Tert-Amyl Methyl Ether (C6H14O)
Tertiary Butyl Alcohol,Tertiary Butyl Alcohol (C4H10O)
Tetracene,"Tetracene (C18H12), a polycyclic aromatic hydrocarbon (PAH), also known as naphthacene or benz[b]anthracene"
Tetrachloroethene,Tetrachloroethene (C2Cl4)
Tetraethylene glycol,Tetraethylene glycol (C8H18O5)
Tetrahydrofuran,Tetrahydrofuran (C4H8O)
Tetramethylnaphthalene,"Tetramethylnaphthalene (C10H4(CH3)4), a polycyclic aromatic hydrocarbon (PAH)"
"Thallium, dissolved","Dissolved thallium (Tl). ""dissolved"" indicates measurement was made on a filtered sample."
"Thallium, distribution coefficient",Ratio of concentrations of thallium in two phases in equilibrium with each other. Phases must be specified.
"Thallium, particulate",Particulate thallium (Tl) in suspension
"Thallium, total","Total thallium (Tl). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Thorium,Thorium (Th)
"Thorium, dissolved","Dissolved thorium. For chemical terms, dissolved indicates a filtered sample."
Thorium-228,An isotope of thorium in the thorium-232 decay series
Thorium-230,An isotope of thorium in the thorium-232 decay series
Thorium-232,A radioactive isotope of thorium which undergoes alpha decay
Threshold,A level above or below which an action is performed.
THSW Index,"The THSW Index uses temperature, humidity, solar radiation, and wind speed to calculate an apparent temperature."
THW Index,"The THW Index uses temperature, humidity, and wind speed to calculate an apparent temperature."
Tide stage,Tidal stage
Time Stamp,The time at which a sensor produces output
"Time, elapsed",Time elapsed since an event occurred
"Tin, dissolved","Dissolved tin (Sn). ""Dissolved "" indicates a the measurement was made on a filtered sample."
"Tin, total","Total tin (Sn).""Total"" indicates was measured on a whole water (unfiltered) sample."
Titanium,Titanium (Ti)
"Titanium, dissolved",Dissolved Titanium
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane","Tm-17a(H),21b(H)-22,29,30-Trisnorhopane"
Toluene,Toluene (C6H5CH3)
"trans-1,2-Dichloroethene","trans-1,2-Dichloroethene (C2H2Cl2)"
"trans-1,3-Dichloropropene","trans-1,3-Dichloropropene (C3H4Cl2)"
Transient species coverage,Areal coverage of transient species
Transpiration,Transpiration
Tributoxyethyl phosphate,Tributoxyethyl phosphate (C42H87O13P)
Trichloroethene,Trichloroethene (C2HCl3)
Triethylene glycol,Triethylene glycol (C6H14O4)
Trifluralin,Trifluralin (C13H16F3N3O4)
Triphenylene,Triphenylene (C18H12)
"Tritium (3H), Delta T of H2O",Isotope 3H of water
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane","Ts-18a(H),21b(H)-22,29,30-Trisnorhopane"
TSI,Carlson Trophic State Index is a measurement of eutrophication based on Secchi depth
Turbidity,Turbidity
Uranium,Uranium (U)
"Uranium, dissolved","Dissolved Uranium. For chemical terms, dissolved indicates a filtered sample."
Uranium-234,An isotope of uranium in the uranium-238 decay series
Uranium-235,An isotope of uranium that can sustain fission chain reaction
Uranium-238,Uranium's most common isotope
Urea,Urea ((NH2)2CO)
Urea flux,Urea ((NH2)2CO) flux
"Vanadium, dissolved","Dissolved vanadium (V). ""Dissolved"" indicates the measurement was made on a filtered sample."
"Vanadium, particulate",Particulate vanadium (V) in suspension
"Vanadium, total","Total vanadium (V). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Vapor pressure,The pressure of a vapor in equilibrium with its non-vapor phases
Vapor pressure deficit,The difference between the actual water vapor pressure and the saturation of water vapor pressure at a particular temperature.
Velocity,"The velocity of a substance, fluid or object"
Visibility,Visibility
Visible Water Presence,"A Boolean indicator for the visible presence of water on the landscape or on the soil surface, as it appears to a human observer's eyes. Typically this variable is employed for wet/dry mapping or citizen science efforts."
Voltage,Voltage or Electrical Potential
Volume,Volume. To quantify discharge or hydrograph volume or some other volume measurement.
Volumetric water content,Volume of liquid water relative to bulk volume. Used for example to quantify soil moisture
Watchdog error count,A counter which counts the number of total datalogger watchdog errors
"Water column equivalent height, absolute",The absolute pressure (combined water + barometric) on a sensor expressed as the height of an equivalent column of water.
"Water column equivalent height, barometric",Barometric pressure expressed as an equivalent height of water over the sensor.
Water Content,Quantity of water contained in a material or organism
Water depth,Water depth is the distance between the water surface and the bottom of the water body at a specific location specified by the site location and offset.
"Water depth, averaged",Water depth averaged over a channel cross-section or water body.  Averaging method to be specified in methods.
Water flux,Water Flux
Water level,Water level relative to datum. The datum may be local or global such as NGVD 1929 and should be specified in the method description for associated data values.
Water potential,"Water potential is the potential energy of water relative to pure free water (e.g. deionized water) in reference conditions. It quantifies the tendency of water to move from one area to another due to osmosis, gravity, mechanical pressure, or matrix effects including surface tension."
Water Presence,"A Boolean indicator for the presence of water on the landscape or on the soil surface, in excess of a detection threshold, as indicated by a sensor"
"Water Use, Agriculture",Water pumped for Agriculture
"Water Use, Commercial + Industrial + Power","Water pumped by commercial, industrial users."
"Water Use, Domestic wells",Water pumped by domestic wells; residents and landowners not using public supply. Nonagriculture wells.
"Water Use, Public Supply",Water supplied by a public utility
"Water Use, Recreation","Recreational water use, for example golf courses."
Water vapor concentration,Water vapor concentration
Water vapor density,Water vapor density
Wave height,"The height of a surface wave, measured as the difference in elevation between the wave crest and an adjacent trough."
Weather conditions,Weather conditions
Well flow rate,Flow rate from well while pumping
Wellhead pressure,"The pressure exerted by the fluid at the wellhead or casinghead after the well has been shut off for a period of time, typically 24 hours"
Wind chill,The effect of wind on the temperature felt on human skin.
Wind direction,Wind direction
Wind gust direction,Direction of gusts of wind
Wind gust speed,Speed of gusts of wind
Wind Run,The length of flow of air past a point over a time interval. Windspeed times the interval of time.
Wind speed,Wind speed
Wind stress,Drag or trangential force per unit area exerted on a surface by the adjacent layer of moving air
Wrack coverage,Areal coverage of dead vegetation
"Xylenes, total",Total xylenes: C6H4(CH3)2
Zeaxanthin,The phytoplankton pigment Zeaxanthin
"Zinc, dissolved",Dissolved Zinc (Zn)
"Zinc, distribution coefficient",Ratio of concentrations of zinc in two phases in equilibrium with each other. Phases must be specified.
"Zinc, particulate",Particulate zinc (Zn) in suspension
"Zinc, total","Total zinc (Zn).""Total"" indicates was measured on a whole water (unfiltered) sample."
"Zircon, dissolved",Dissolved Zircon (Zr)
"Zirconium, dissolved",Dissolved Zirconium
Zirconium-95,A radioactive isotope of zirconium with a half-life of 63 days
Zooplankton,"Zooplanktonic organisms, non-specific"
